id,name,zip_id:id
96,LA MANSIÓN,l10n_co_base_location.CO050012_zip
97,LOS ÁNGELES,l10n_co_base_location.CO050012_zip
98,PRADO,l10n_co_base_location.CO050012_zip
99,SAN MIGUEL,l10n_co_base_location.CO050012_zip
100,VILLA HERMOSA,l10n_co_base_location.CO050012_zip
101,VILLA NUEVA,l10n_co_base_location.CO050012_zip
102,BARRIO CAYCEDO,l10n_co_base_location.CO050013_zip
103,EL PINAL,l10n_co_base_location.CO050013_zip
104,ENCISO,l10n_co_base_location.CO050013_zip
105,LA LADERA,l10n_co_base_location.CO050013_zip
106,LA LIBERTAD,l10n_co_base_location.CO050013_zip
107,LLANADITAS,l10n_co_base_location.CO050013_zip
108,LOS MANGOS,l10n_co_base_location.CO050013_zip
109,SUCRE,l10n_co_base_location.CO050013_zip
110,TRECE DE NOVIEMBRE,l10n_co_base_location.CO050013_zip
111,ALEJANDRO ECHAVARRÍA,l10n_co_base_location.CO050014_zip
112,BARRIOS DE JESÚS,l10n_co_base_location.CO050014_zip
113,JUAN PABLO II,l10n_co_base_location.CO050014_zip
114,LA SIERRA,l10n_co_base_location.CO050014_zip
115,LAS ESTANCIAS,l10n_co_base_location.CO050014_zip
116,OCHO DE MARZO,l10n_co_base_location.CO050014_zip
117,SAN ANTONIO,l10n_co_base_location.CO050014_zip
118,VILLA LILLIAM,l10n_co_base_location.CO050014_zip
119,VILLA TURBAY,l10n_co_base_location.CO050014_zip
120,VILLATINA,l10n_co_base_location.CO050014_zip
121,CALLE NUEVA,l10n_co_base_location.CO050014_zip
122,CALLE NUEVA,l10n_co_base_location.CO050015_zip
123,CENTRO ADMINISTRATIVO,l10n_co_base_location.CO050015_zip
124,CORAZÓN DE JESÚS - BARRIO TRISTE,l10n_co_base_location.CO050015_zip
125,GUAYAQUIL,l10n_co_base_location.CO050015_zip
126,LA ALPUJARRA,l10n_co_base_location.CO050015_zip
127,PERPETUO SOCORRO,l10n_co_base_location.CO050015_zip
128,ASOMADERA NO.1,l10n_co_base_location.CO050016_zip
